start,end,length
51880,52374,494
52395,52545,150
52830,52980,150
53183,53333,150
53350,53646,296
53859,54009,150
54032,54182,150
54350,54500,150
54557,54707,150
55263,55413,150
55436,55586,150
55617,55767,150
56317,56467,150
56608,56758,150
56919,57069,150
57176,57326,150
57441,57724,283
57768,57918,150
57964,58114,150
58304,58454,150
58494,58644,150
58801,58951,150
59074,59224,150
59284,59434,150
59607,59757,150
59789,59939,150
60044,60522,478
60808,60958,150
60995,61444,449
61473,61623,150
61643,61793,150
61813,62130,317
62154,62304,150
62336,62486,150
62611,62761,150
62948,64257,1309
64267,64417,150
64451,65123,672
65166,65316,150
65339,65489,150
65521,65671,150
65692,65842,150
65872,66022,150
66071,66352,281
66371,66521,150
66557,66832,275
66893,67043,150
67400,67849,449
67962,68112,150
68130,68280,150
68474,68624,150
68715,70503,1788
70515,70665,150
70694,70844,150
70978,71128,150
71150,71300,150
71314,71628,314
71651,71801,150
71826,71976,150
72039,72501,462
72509,72659,150
72682,73622,940
73657,73807,150
73967,74269,302
74310,74460,150
74524,75470,946
75654,75804,150
75845,76134,289
76180,76330,150
76564,76873,309
76900,77050,150
77133,77808,675
77852,78002,150
78027,78177,150
78187,78337,150
78366,78516,150
78563,78713,150
78729,78879,150
79071,79221,150
79271,79421,150
79529,80161,632
80185,80335,150
80369,80519,150
80549,80699,150
80733,80883,150
80891,81041,150
81062,81405,343
81409,81559,150
81579,82383,804
82413,82563,150
82734,83146,412
83187,83337,150
83368,83648,280
83679,83829,150
83848,83998,150
84581,84731,150
84774,85427,653
85451,85601,150
85654,85948,294
85972,86122,150
86148,86298,150
86339,86489,150
86629,87121,492
87184,87334,150
87365,87654,289
87865,88015,150
88040,88325,285
88377,88527,150
88536,88686,150
88702,88852,150
89107,89257,150
89531,90044,513
90092,90242,150
90300,90450,150
90475,90625,150
90650,90800,150
91031,91181,150
91282,91432,150
91574,91724,150
91785,91935,150
91975,92125,150
92164,92314,150
92513,92663,150
92699,92849,150
92863,93013,150
93022,93172,150
93385,94359,974
94382,94532,150
94870,95020,150
95456,95606,150
95660,95810,150
95994,96144,150
96339,96489,150
96690,96840,150
96900,97178,278
97227,97377,150
97398,97548,150
97568,97718,150
97740,97890,150
98083,98233,150
98260,98410,150
98422,98572,150
98588,98738,150
98759,98909,150
98936,99086,150
99113,99263,150
99312,99920,608
99959,100109,150
100140,100290,150
100300,100450,150
100489,100639,150
100644,100794,150
100808,100958,150
100973,101123,150
101148,101298,150
101307,101457,150
101483,101954,471
101984,102134,150
102186,103666,1480
103678,103828,150
103851,104001,150
104030,104180,150
104226,104376,150
104591,104741,150
104804,105092,288
105351,105501,150
106102,106252,150
106424,106574,150
106874,107024,150
107096,107246,150
107276,107426,150
107650,108137,487
108320,108470,150
108490,108640,150
108656,108806,150
108849,108999,150
109018,109168,150
109184,109334,150
109337,109487,150
109497,109647,150
109814,109964,150
109972,110122,150
110152,110302,150
110334,110484,150
110495,110645,150
110831,110981,150
111007,111157,150
111175,111325,150
111363,112329,966
112470,112620,150
112640,112790,150
112823,112973,150
113005,113296,291
113339,113489,150
113511,113661,150
113680,113830,150
113845,113995,150
114010,114160,150
114191,114341,150
114364,114514,150
114534,114684,150
114711,114861,150
114891,115041,150
115070,115699,629
115716,115866,150
115881,116031,150
116231,116381,150
116401,116551,150
116553,116703,150
116726,116876,150
116895,117045,150
117055,117205,150
117232,117382,150
117412,117562,150
117580,117730,150
117787,117937,150
117972,118122,150
118135,118285,150
118323,118936,613
118978,119128,150
119132,119620,488
119653,119803,150
119813,119963,150
119995,120145,150
120162,120312,150
120350,120500,150
120545,121240,695
121260,121410,150
121436,121586,150
121607,122051,444
122104,122254,150
122307,122602,295
122641,122791,150
122814,122964,150
122976,123719,743
123783,123933,150
123958,124108,150
124125,124275,150
124301,124451,150
124458,124608,150
124685,124835,150
124892,125042,150
125055,125205,150
125232,125382,150
125423,125573,150
125592,125742,150
125754,125904,150
125952,126102,150
126108,126258,150
126275,126425,150
126473,126623,150
126666,126816,150
126842,126992,150
127015,127165,150
127190,127487,297
127508,127658,150
127693,127843,150
127871,128021,150
128050,128200,150
128202,128352,150
128356,128506,150
128536,128835,299
128858,129008,150
129050,129200,150
129226,129376,150
129390,129540,150
129577,129727,150
129779,129929,150
129949,130099,150
130127,130277,150
130303,130453,150
130478,130628,150
130651,130801,150
130899,131049,150
131090,131240,150
131309,131459,150
131497,131647,150
131662,131812,150
131841,131991,150
132028,132324,296
132375,132525,150
132543,132693,150
132721,132871,150
132922,133215,293
133249,133399,150
133429,133579,150
133612,134537,925
134744,134894,150
135077,135537,460
135580,135730,150
135746,135896,150
135925,136075,150
136107,136257,150
136289,136439,150
136456,136606,150
136652,137094,442
137158,137308,150
137378,137528,150
137541,137691,150
137724,137874,150
137906,138056,150
138065,138215,150
138240,138390,150
138561,138711,150
139095,139245,150
139262,139412,150
139426,139576,150
139583,140066,483
140232,140382,150
140557,140855,298
140860,141010,150
141046,141196,150
141232,141382,150
141387,141537,150
141561,141711,150
141719,141869,150
141909,142059,150
142090,142240,150
142261,142411,150
142438,142588,150
142626,142776,150
142809,142959,150
143008,143762,754
143771,143921,150
143943,144093,150
144122,144272,150
144304,144454,150
144635,144785,150
144807,144957,150
144996,145146,150
145167,145317,150
145357,145507,150
145528,145993,465
146017,146167,150
146168,146644,476
146668,146818,150
146846,146996,150
147027,147177,150
147194,147344,150
147382,147532,150
147538,147861,323
147944,148094,150
148278,150026,1748
150087,150237,150
150279,151156,877
151237,151387,150
151410,151716,306
151922,152072,150
152092,152242,150
152249,152399,150
152614,152764,150
152785,152935,150
152975,153280,305
153310,153460,150
153476,153769,293
153807,153957,150
153979,154129,150
154166,154316,150
154329,154479,150
154493,154643,150
154663,154813,150
154826,154976,150
155010,155160,150
155170,155320,150
155363,155665,302
155667,155817,150
155855,156005,150
156045,156856,811
156946,157096,150
157143,157763,620
157793,157943,150
158093,158243,150
158279,158429,150
158655,158805,150
158839,158989,150
159161,159311,150
159343,159493,150
159536,159686,150
159704,159854,150
159871,160021,150
160051,160201,150
160218,160368,150
160375,160525,150
160554,162441,1887
162482,162632,150
162662,162812,150
162827,162977,150
162997,163291,294
163325,163475,150
163501,163651,150
163791,163941,150
164113,164263,150
164278,165010,732
165166,165316,150
165487,165637,150
165805,165955,150
166031,166181,150
166293,166443,150
166481,166631,150
166654,166804,150
166811,166961,150
167016,168527,1511
168607,168757,150
168783,169424,641
169606,169756,150
170030,170180,150
170497,170647,150
170717,171014,297
171058,171208,150
171223,171373,150
171383,171533,150
171545,171695,150
171738,171888,150
171906,172056,150
172149,172299,150
172315,172465,150
172508,172658,150
172665,172815,150
172843,172993,150
173009,173159,150
173183,173333,150
173366,173516,150
173526,173676,150
173703,173853,150
174047,174197,150
174234,174384,150
174423,174961,538
175024,175174,150
175185,175335,150
175365,175515,150
175521,175671,150
175772,175922,150
175963,176763,800
176790,176940,150
176973,177123,150
177140,177290,150
177309,177459,150
177471,177621,150
177626,177776,150
177805,178428,623
178458,178608,150
178625,178775,150
178802,178952,150
178982,179132,150
179157,179307,150
179329,179479,150
179516,180189,673
180395,180545,150
180579,180729,150
180747,181206,459
181272,181422,150
181550,181700,150
182062,182531,469
182682,182832,150
182847,182997,150
183382,183532,150
183567,183847,280
184024,184174,150
184319,184619,300
184629,184779,150
184837,184987,150
185236,185386,150
185408,185558,150
185577,185727,150
185774,186792,1018
187050,187200,150
187215,187365,150
187401,187551,150
187721,187986,265
188012,188162,150
188390,188540,150
188562,188951,389
189083,189233,150
189272,189422,150
189455,189605,150
189637,189787,150
189827,189977,150
190001,190151,150
190163,190313,150
190352,190502,150
190518,190668,150
190696,190846,150
190900,191050,150
191077,191227,150
191246,191396,150
191419,191569,150
191570,191720,150
191755,191905,150
191954,192104,150
192159,192309,150
192312,192462,150
192510,192660,150
192679,192829,150
192851,193001,150
193023,193173,150
193185,193472,287
193529,193679,150
193688,194385,697
194535,194685,150
194719,195335,616
195380,195530,150
195545,195695,150
195721,196018,297
196162,196312,150
196375,196525,150
196644,198413,1769
198439,198589,150
198658,198937,279
198972,199122,150
199189,199339,150
199545,199695,150
199711,199861,150
199886,200036,150
200055,200205,150
200233,200383,150
200398,200548,150
200563,200713,150
200739,201365,626
201366,201516,150
201526,201676,150
201693,201843,150
201861,202011,150
202019,202169,150
202175,202325,150
202335,202485,150
202514,203120,606
203146,203296,150
203313,203463,150
203480,203630,150
203651,203801,150
203848,203998,150
204089,204239,150
204258,204408,150
204431,204581,150
204603,204753,150
204783,204933,150
204936,205086,150
205130,205280,150
205310,205641,331
205674,205824,150
205847,205997,150
206006,206156,150
206187,206337,150
206368,206518,150
206522,206672,150
206693,206843,150
206868,207018,150
207034,207184,150
207199,207498,299
207676,207826,150
207867,208017,150
208037,208334,297
208358,208508,150
208537,208687,150
208719,208869,150
208880,209030,150
209068,209218,150
209242,209392,150
209432,209582,150
209609,209759,150
209775,210118,343
210163,210313,150
210324,210474,150
210506,210656,150
210684,210834,150
210851,211966,1115
212014,212164,150
212195,212345,150
212366,212516,150
212533,212683,150
212705,212855,150
212897,214050,1153
214165,214315,150
214725,214875,150
214951,215101,150
215291,215441,150
215600,217127,1527
217262,217412,150
217419,217569,150
217598,217748,150
217770,217920,150
217928,218078,150
218103,218572,469
218639,218789,150
218821,219810,989
219812,219962,150
219993,220143,150
220160,220310,150
220336,220486,150
220508,220658,150
220681,220831,150
220864,221161,297
221169,221319,150
221340,221490,150
221506,221656,150
221687,221837,150
221873,223007,1134
223041,223191,150
223221,223371,150
223384,223534,150
223547,223697,150
223926,224076,150
224095,224245,150
224400,224550,150
224566,224716,150
224792,224942,150
225014,225164,150
225182,225332,150
225357,225507,150
225543,228099,2556
228142,228292,150
228358,228683,325
228858,229008,150
229014,229645,631
229650,229800,150
229825,229975,150
229991,230141,150
230390,231379,989
231610,231760,150
231805,231955,150
231978,232128,150
232169,232319,150
232352,232502,150
232536,232686,150
232732,232882,150
232922,233213,291
233267,233417,150
233426,233576,150
233604,233754,150
233811,235140,1329
235164,235314,150
235472,235923,451
235938,236088,150
236364,236514,150
236531,236681,150
236718,236868,150
236882,237032,150
237057,237207,150
237226,237538,312
237548,237698,150
237854,238004,150
238255,238535,280
238570,238720,150
238740,238890,150
238904,239182,278
239230,239380,150
239431,239581,150
239583,239733,150
239761,239911,150
239947,240097,150
240111,240261,150
240307,240457,150
240492,242223,1731
242423,242573,150
242587,243036,449
243044,243194,150
243215,243365,150
243681,243831,150
243886,245117,1231
245237,245387,150
245468,245777,309
245822,245972,150
245986,246136,150
246151,246301,150
246501,246651,150
246673,246823,150
246844,246994,150
247032,247505,473
247547,247697,150
247728,247878,150
247903,248053,150
248082,248232,150
248246,248396,150
248428,249502,1074
249701,249851,150
249869,250019,150
250205,250355,150
250364,250514,150
250720,250870,150
251085,251235,150
251244,251394,150
251431,251581,150
251614,251917,303
251959,252109,150
252130,252280,150
252317,252467,150
252482,252776,294
252803,252953,150
252983,253860,877
254088,254238,150
254283,254433,150
254434,254771,337
254806,254956,150
255000,255150,150
255183,255333,150
255533,255840,307
255853,256003,150
256185,256335,150
256541,257501,960
257530,257680,150
257739,258027,288
258084,258234,150
258264,258793,529
258836,258986,150
259010,259160,150
259214,259561,347
259566,259716,150
259757,259907,150
259930,260554,624
260615,260765,150
260794,260944,150
260958,261574,616
261784,261934,150
261957,262107,150
262125,262275,150
262333,262483,150
262551,262701,150
262782,263035,253
263170,263320,150
263554,263704,150
263882,264032,150
264057,264207,150
264223,265081,858
265107,265257,150
265294,265444,150
265495,265766,271
265877,266027,150
266084,266234,150
266264,266414,150
266434,266584,150
266610,266760,150
266786,266936,150
266975,267265,290
267349,267499,150
267674,268113,439
268131,268281,150
268307,268764,457
268808,268958,150
269005,269155,150
269187,269337,150
269412,269562,150
269579,269729,150
269810,269960,150
269991,270329,338
270419,270569,150
270612,270762,150
271028,271178,150
271210,271360,150
271379,271529,150
271559,271709,150
271740,271890,150
271927,272900,973
272954,273104,150
273138,273288,150
273338,273488,150
273682,273832,150
273855,274173,318
274192,274342,150
274365,274515,150
274714,274864,150
274886,275036,150
275059,275209,150
275401,275551,150
275579,275729,150
275748,275898,150
275925,276075,150
276269,276930,661
277065,277215,150
277264,277414,150
277417,277567,150
277609,277759,150
277783,277933,150
277957,278562,605
278570,278720,150
279122,279272,150
279389,279539,150
279552,279702,150
279722,279872,150
280137,280287,150
280443,280593,150
280653,280803,150
280931,281081,150
281115,281411,296
281423,281573,150
281622,281772,150
281924,282074,150
282271,282421,150
282422,282572,150
282612,282762,150
283006,283497,491
283501,283651,150
283680,283830,150
283984,284134,150
284213,284556,343
284609,284759,150
284869,285019,150
285213,285363,150
285490,285640,150
285715,285865,150
285997,286147,150
286346,286496,150
286517,287053,536
287054,287204,150
287302,287452,150
287489,287639,150
287870,289313,1443
289479,289629,150
289834,289984,150
290026,290176,150
290198,290348,150
290422,290572,150
290606,290756,150
290910,291060,150
291141,291291,150
291699,291849,150
292027,292177,150
292219,292521,302
292554,292704,150
292726,292876,150
292916,293734,818
293763,293913,150
293931,294081,150
294241,294391,150
294550,294700,150
294833,294983,150
294989,295139,150
295175,295325,150
295372,295522,150
295533,295683,150
295736,296031,295
296350,296500,150
296535,296997,462
297346,297496,150
297623,297773,150
297911,298061,150
298242,298392,150
298501,298651,150
298677,298827,150
298859,299009,150
299037,299187,150
299229,299379,150
299416,299566,150
299766,299916,150
300083,300233,150
300269,300714,445
300764,300914,150
300919,301069,150
301097,301247,150
301424,301574,150
301773,301923,150
301967,302117,150
302143,302293,150
302302,302452,150
302468,302618,150
302652,302802,150
303017,303167,150
303213,303363,150
303366,303516,150
303535,303685,150
303701,304171,470
304193,304343,150
304379,305218,839
305259,305409,150
305422,305572,150
305632,305782,150
306310,306460,150
306660,306810,150
306829,306979,150
306987,307429,442
307459,307609,150
307635,307785,150
307817,307967,150
308036,308186,150
308385,308535,150
308586,308736,150
308761,308911,150
308922,309236,314
309254,309404,150
309420,309570,150
309588,309738,150
309752,309902,150
310343,310493,150
310529,311579,1050
311590,311740,150
311757,311907,150
311932,312082,150
312102,312252,150
312269,312419,150
312465,312615,150
312630,312780,150
312798,312948,150
312962,313112,150
313145,313295,150
313312,313462,150
313470,313620,150
313637,313787,150
313806,313956,150
313971,314452,481
314480,314630,150
314661,314811,150
314834,314984,150
315001,315151,150
315182,315332,150
315368,316917,1549
317047,317197,150
317265,317415,150
317426,317576,150
317597,317747,150
317775,317925,150
317926,318400,474
318417,318567,150
318596,318746,150
318776,318926,150
318971,319121,150
319218,319368,150
319391,319541,150
319560,319710,150
319715,319865,150
319886,320036,150
320061,320211,150
320241,320391,150
320422,320572,150
320599,320749,150
320769,321519,750
321541,321691,150
321705,321855,150
321869,322019,150
322066,322216,150
322284,322434,150
322672,322822,150
322866,323016,150
323031,323181,150
323203,323353,150
323379,323529,150
323557,323707,150
323727,323877,150
323894,324044,150
324064,324214,150
324361,324511,150
324553,324703,150
324720,324870,150
324890,325040,150
325075,325225,150
325243,325393,150
325394,325544,150
325568,325718,150
325730,325880,150
325899,326049,150
326231,326381,150
326501,326651,150
326674,326824,150
327010,328029,1019
328091,328241,150
328256,328717,461
328756,328906,150
328927,329271,344
329280,329430,150
329455,329605,150
329651,329949,298
329998,330148,150
330268,330418,150
330536,330686,150
330718,330868,150
330877,331027,150
331047,331197,150
331213,331363,150
331379,331529,150
331554,331704,150
331710,332178,468
332203,332353,150
332396,332546,150
332632,332782,150
332805,332955,150
332973,333123,150
333157,333307,150
333331,333481,150
333518,333668,150
333676,333826,150
333857,334007,150
334035,334185,150
334216,334366,150
334411,334899,488
334932,335082,150
335109,335259,150
335286,335436,150
335465,335751,286
335797,335947,150
335992,336142,150
336215,336627,412
336661,336811,150
336851,337142,291
337152,337302,150
337320,337617,297
337640,337790,150
337969,338119,150
338233,338888,655
338913,339063,150
339088,339392,304
339403,339553,150
339640,339989,349
340249,340399,150
340455,340605,150
340712,340862,150
340992,341142,150
341350,341500,150
341537,342176,639
342178,342328,150
342471,342621,150
342723,342873,150
343054,343204,150
343380,343530,150
343555,343705,150
343892,344042,150
344043,344193,150
344230,345483,1253
345496,345646,150
345654,345804,150
345840,345990,150
346030,346180,150
346312,346462,150
346650,346800,150
346997,347147,150
347257,347579,322
347592,347742,150
347758,347908,150
347928,348078,150
348101,348251,150
348290,348440,150
348482,348632,150
348672,348822,150
348849,348999,150
349035,349185,150
349369,349519,150
349551,349701,150
349759,350078,319
350109,350259,150
350280,350430,150
350435,350585,150
350591,350741,150
350771,350921,150
350954,351451,497
351556,351706,150
351948,352098,150
352209,352359,150
352393,353014,621
353037,353187,150
353206,353356,150
353363,353513,150
353686,353836,150
353947,354097,150
354167,354317,150
354336,354486,150
354508,354658,150
354690,354840,150
355007,355157,150
355345,355495,150
355515,355665,150
355688,355838,150
355847,355997,150
356025,356175,150
356194,356344,150
356498,356648,150
356666,356816,150
356828,356978,150
356996,357146,150
357166,357316,150
357336,357486,150
357667,357817,150
357842,358632,790
358668,358818,150
360079,360229,150
360426,360576,150
360775,360925,150
361039,362147,1108
362160,362310,150
362351,362501,150
362561,362711,150
362892,363042,150
363197,364020,823
364023,364173,150
364370,364520,150
364683,364833,150
364996,365332,336
365422,365572,150
365575,365725,150
365751,365901,150
365992,366142,150
366334,366484,150
366666,366816,150
366858,367008,150
367073,367520,447
367538,367688,150
367709,367859,150
367883,368387,504
368416,368566,150
368757,368907,150
368966,369444,478
369461,369611,150
369672,369822,150
369894,370044,150
370064,370214,150
370224,370374,150
370405,370709,304
370835,370985,150
371032,371519,487
371562,371712,150
371738,371888,150
371931,372081,150
372273,372423,150
372448,372598,150
372626,372776,150
372827,372977,150
373022,373172,150
373202,373352,150
373384,373534,150
373555,373824,269
374028,374178,150
374197,374347,150
374366,374516,150
374528,374678,150
374693,374843,150
374860,375010,150
375030,375180,150
375282,375432,150
375463,375613,150
375653,375803,150
375833,376577,744
376599,376749,150
376793,376943,150
377001,377151,150
377169,377639,470
377653,377803,150
377831,377981,150
378006,378156,150
378206,379222,1016
379372,379522,150
379550,379850,300
379864,380014,150
380201,380351,150
380364,380514,150
380525,380675,150
380698,380848,150
380875,381025,150
381189,381339,150
381356,381506,150
381555,381705,150
381716,381866,150
381884,382034,150
382152,383304,1152
383387,383537,150
383585,383735,150
383781,384406,625
384575,384725,150
384894,385044,150
385127,386039,912
386389,386539,150
386549,386699,150
386713,386863,150
386874,387024,150
387052,387348,296
387375,387525,150
387529,387679,150
387718,387868,150
388047,388197,150
388242,388392,150
388411,389471,1060
389643,389793,150
390033,390183,150
390353,390503,150
390553,393688,3135
393699,393849,150
394026,394176,150
394638,394788,150
395010,395160,150
395218,395368,150
395752,395902,150
396049,396477,428
396803,396953,150
397189,397471,282
397661,397811,150
397846,397996,150
398014,398164,150
398209,398359,150
398498,398648,150
398670,399241,571
399265,399415,150
399645,399795,150
399974,400124,150
400160,400310,150
400345,401325,980
401352,401502,150
401581,401731,150
401756,403472,1716
403493,403643,150
403671,403821,150
403865,404015,150
404038,404188,150
404323,404473,150
404529,404679,150
404703,404853,150
404886,405036,150
405081,405384,303
405578,405728,150
405750,405900,150
405925,406075,150
406082,406232,150
406427,406577,150
406599,407567,968
407610,407760,150
407820,408568,748
408739,408889,150
408901,409051,150
409066,409216,150
409227,409377,150
409404,409554,150
409702,409852,150
409884,410034,150
410051,410201,150
410218,410368,150
410391,410541,150
410542,410692,150
410711,410861,150
410877,411027,150
411059,411524,465
411554,411704,150
411748,412043,295
412061,412211,150
412232,412382,150
412483,412633,150
412882,413032,150
413061,413211,150
413235,413385,150
413410,413560,150
413757,413907,150
413951,414101,150
414114,414549,435
414555,414705,150
414740,415212,472
415224,415374,150
415395,415545,150
415554,415704,150
415712,416180,468
416195,416345,150
416485,416635,150
416637,416787,150
416814,416964,150
416965,417115,150
417149,417299,150
417325,418757,1432
418763,418913,150
418921,419071,150
419126,419276,150
419349,419499,150
419523,419673,150
419702,419852,150
419869,420019,150
420050,420200,150
420224,420374,150
420405,420555,150
420633,420783,150
420850,421000,150
421372,421522,150
421528,422189,661
422565,422715,150
422720,422870,150
422938,423088,150
423116,423266,150
423286,423436,150
423450,423600,150
423623,424888,1265
425074,425224,150
425250,425400,150
425437,425587,150
425602,425752,150
425787,425937,150
425967,426117,150
426128,426278,150
426297,426447,150
426481,426631,150
426645,426950,305
427161,427311,150
427361,427664,303
428069,428219,150
428266,428416,150
428433,428699,266
428729,428879,150
428893,429043,150
429084,429234,150
429376,429526,150
429541,430016,475
430059,430209,150
430259,430409,150
430515,430665,150
430708,430858,150
430895,431045,150
431067,431217,150
431234,431384,150
431394,431544,150
431549,431699,150
431719,431869,150
431881,432031,150
432038,435562,3524
435585,435735,150
435973,436123,150
436218,436368,150
436389,436539,150
436573,437133,560
437154,437304,150
437377,437527,150
437597,438052,455
438078,438228,150
438244,438684,440
438715,438865,150
438873,439023,150
439045,439195,150
439241,439391,150
439409,439559,150
439602,439752,150
439863,440013,150
440030,440180,150
440196,440346,150
440370,440520,150
440530,441119,589
441143,441293,150
441314,441464,150
441482,441632,150
441655,441805,150
441826,441976,150
441989,442139,150
442148,442433,285
442478,442628,150
442656,442806,150
442821,442971,150
442987,443137,150
443164,443314,150
443326,443476,150
443505,443655,150
443748,444635,887
444734,444884,150
444918,445874,956
445920,446070,150
446126,446405,279
446463,446613,150
446676,446826,150
447008,447158,150
447185,447335,150
447353,447503,150
447514,447664,150
447683,447833,150
447989,448139,150
448283,448433,150
448446,449067,621
449142,449292,150
449452,449602,150
449628,449778,150
449804,449954,150
449980,450270,290
450469,450619,150
450658,450808,150
450867,451017,150
451064,451350,286
451410,451560,150
451588,451738,150
451774,451924,150
451934,452084,150
452114,453621,1507
453649,453799,150
454136,454286,150
454306,454456,150
454480,454630,150
454651,454801,150
454802,454952,150
454971,455121,150
455139,455289,150
455301,455451,150
455470,455620,150
455643,455793,150
455800,456254,454
456461,456611,150
456729,456879,150
456941,457091,150
457123,457273,150
457439,457589,150
457620,457770,150
457806,457956,150
458060,458210,150
458244,458394,150
458415,458716,301
458746,458896,150
458915,459065,150
459081,459376,295
459409,459559,150
459591,459741,150
459753,459903,150
459917,460067,150
460207,460357,150
460445,460595,150
460766,460916,150
460970,461580,610
461615,461765,150
461912,462062,150
462102,462754,652
462788,462938,150
462973,463123,150
463128,463278,150
463300,463450,150
463476,463626,150
463652,463802,150
463840,463990,150
464133,464283,150
464305,464455,150
464636,464786,150
464930,465080,150
465088,465238,150
465260,465410,150
465467,465617,150
465696,465846,150
466083,466233,150
466301,466451,150
466607,466757,150
466762,466912,150
466941,467091,150
467092,467242,150
467264,467560,296
467568,467718,150
467725,467875,150
467876,468026,150
468042,468192,150
468219,470036,1817
470483,470633,150
470679,471408,729
471460,471610,150
471657,471807,150
471825,471975,150
471986,472136,150
472182,472332,150
472353,472503,150
472530,472680,150
472698,473042,344
473100,473250,150
473440,473590,150
473609,473759,150
473779,473929,150
473951,474101,150
474134,474737,603
474780,474930,150
474960,475257,297
475392,475542,150
475706,475856,150
475953,476103,150
476138,476288,150
476310,476460,150
476470,476620,150
477000,477150,150
477205,477355,150
477363,477513,150
477545,477695,150
477700,478200,500
478230,478380,150
478403,478871,468
478928,479078,150
479103,479253,150
479320,479470,150
479603,479753,150
479770,479920,150
479942,480219,277
480247,480397,150
480415,480565,150
480618,480768,150
480836,481210,374
481226,481376,150
481388,481538,150
481551,481701,150
481718,481868,150
482030,482180,150
482198,482348,150
482369,482519,150
482544,482694,150
482732,482882,150
482906,483056,150
483268,483418,150
483502,483652,150
483836,483986,150
484018,484168,150
484190,484340,150
484349,484499,150
484508,484658,150
484671,484821,150
484827,484977,150
484996,485146,150
485177,485327,150
485500,485650,150
485669,485819,150
485848,485998,150
486034,486184,150
486335,486485,150
486616,486766,150
486798,486948,150
486971,487121,150
487157,487307,150
487321,487471,150
487484,487634,150
487645,487795,150
487798,488411,613
488442,488592,150
488623,489430,807
489446,489596,150
489616,490684,1068
490809,490959,150
490983,491133,150
491151,491301,150
491325,491475,150
491491,491641,150
491654,491804,150
491854,492004,150
492194,492344,150
492366,492516,150
492538,492688,150
492710,495643,2933
495697,495847,150
495882,496032,150
496099,496249,150
496347,496497,150
496526,496676,150
496689,496839,150
496862,497012,150
497039,497189,150
497202,498345,1143
498392,498542,150
498585,498735,150
498778,498928,150
498979,499129,150
499184,499334,150
499336,499486,150
499543,499693,150
499867,500160,293
500166,500316,150
500359,500509,150
500637,500787,150
500807,501459,652
501497,501647,150
501677,501967,290
501979,502129,150
502163,502313,150
502323,502473,150
502515,502665,150
502908,503058,150
503253,503403,150
503440,505433,1993
505470,505620,150
505625,505775,150
505800,505950,150
506004,506288,284
506630,506780,150
506897,507330,433
507339,507489,150
507505,507655,150
507676,507826,150
507857,508007,150
508029,508179,150
508295,508445,150
508505,508774,269
508952,509102,150
509104,509559,455
509646,509796,150
509991,510141,150
510374,510524,150
510602,511567,965
511746,511896,150
511952,512102,150
512238,512388,150
512700,512850,150
512963,513113,150
513181,513331,150
513596,513903,307
514322,514472,150
514669,514819,150
514996,515935,939
515960,516110,150
516134,516284,150
516309,516459,150
516475,516625,150
516639,516789,150
